date,description,south_rating,kaanapali_rating,northwest_rating
"Wednesday, April 6 2022","North West (epili,kapatua, Honolua)

Partly sunny. Scattered showers
Super strong currents in areas
Honolua, Kapalua looking good

Near Ka'anapali (ick rock. airport Kahekil

Mostly sunny, isolated showers, Windy
Stronger wind driven currents
South face of Black Rock is best

South Shore (oiowalu, kinei, Makena Landing)

Mostyl sunny. Increasing afternoon wind
Wind waves & choppy seas this afternoon
Kam 1,2,3, Ulua & Makena Landing good",6.5,7.0,6.
"Friday, April 15 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Very strong winds
Extreme currents further out from shore
Honolua Bay & Kapalua Bay are best

Near Ka'anapali (ick rock. airport Kahekil

Sunshine expected. Breezy PM wind
PM wind likely affecting Kahekili
South face of Black Rock good all day

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies are expetced. Breezy PM wind
Waves breaking. Choppy seas this afternoon
Kam 1, Ulua & Wailea beaches= smaller waves",6.0,75,7.0
"Wednesday, April 20 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Possible scattered showers
Windy. Waves & currents increasing
Kapalua bay is still looking really good

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies expected all day. Breezy wind
Waves picked up a bit, Mainly at Kahekili
South face of Black Rock looking great

South Shore (oiowalu, kinei, Makena Landing)

Sunshine expected. Increasing PM wind
Waves have picked up in areas
Kamaole 1 & Ulua beach are looking best",6.0,6.5,5.
"Thursday, April 21 2022","North West (epili,kapatua, Honolua)

Partly sunny. Very windy. Isolated showers
Hazardous waves & stronger currents
Inner 1/2 of Kapalua Bay still looks nice

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies expected. Breezy east wind
Elevated waves in areas but smaller
Kahekili may improve. Black Rock is best

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny. Increasing PM winds
Waves breaking largest in Makena area
Smaller in Kam 1, Ulua & Wailea beaches",6.0,7.0,4.
"Sunday, April 24.2022","North West (epili,kapatua, Honolua)

Partly sunny, isolated showers. Windy
High Surf Advisory! Hazardous conditions
Small area in Kapalua Bay has smaller waves

Near Ka'anapali (ick rock. airport Kahekil

Mostly sunny. Light wind this morning
Waves are hazardous in most areas
South end Kahekili & Black Rock smaller waves

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny. Light Am wind increasing PM
Hazardous waves & currents
Smaller waves at Kamaole Beach #1",3.5,4.5,2.0
"Monday, April 25 2022","North West (epili,kapatua, Honolua)

Partly sunny. Wind gusts around 28 mph
Hazardous waves & strong currents
Inside Kapalua Bay the wavesa are smaller

Near Ka'anapali (ick rock. airport Kahekil

Mostly sunny. Stronger afternoon wind
Waves are powerful in areas- use caution
South face of Black Rock looks looks best

South Shore (oiowalu, kinei, Makena Landing)

Sunny, light wind this AM. Stronger this PM
Waves are still breaking bigger at times
Kam 1 & Ulua beaches have smallest waves",5.0,5.5,3.5
"Saturday, April 9 2022","North West (epili,kapatua, Honolua)

Mostly sunny, windy. Waves in areas
Strong currents further out, outside bays
Half of Honolua is nice. Kapalua Bay is best

Near Ka'anapali (ick rock. airport Kahekil

Sunshien expected. Breezy PM wind
Waves expected to rise sometime today
Kahekili & Black Rock both excellent this AM

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies expected. Light AM wind
Waves are rising. Makena already has waves
Kam 1, Ulua beach & Wailea beach look best",7.0,75,6.
"Friday, April 8 2022","North West (epili,kapatua, Honolua)

Scattered showers. Occasional sun
Powerful waves, currents & rain runoff
Kapalua bay has the calmest water

Near Ka'anapali (ick rock. airport Kahekil

Mostly sunny. Breezy east wind
Waves & currents may pick up a bit
Kahekili & Black Rock looking good

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny in Wailea & South Kihei
Waves expected to pick up later
Kam 1, Ulua & Makena landing good this AM",7.0,75,4.
"Sunday, April 10 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Breezy east wind
Stronger currents outside the bays
Kapalua Bay & Honolua looking good

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies & light winds expected
Waves are elevated & currents stronger
Kahekili & Black Rock still decent

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies & lighter wind expected
Waves picked up & getting bigger
Parts of Kam 1 & Ulua have smallest waves",5.0,6.0,7.0
"Monday, April 11 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Isolated showers. Breezy
Elevated waves in Napili Bay
Honolua good. Kapalua Bay is best

Near Ka'anapali (ick rock. airport Kahekil

Mostly sunny. Isolated PM showers
Waves & currents are powerful hazardous
South end of Kahekili has smaller waves

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny. Isolated PM showers
Waves & currents are hazardous
Smaller waves in areas of Kam 1 & Ulua beach",3.5,4.5,6.5
"Sunday, April 3 2022","North West (epili,kapatua, Honolua)

Partly sunny. Super strong wind
Hazardous ocean conditions. Waves
Slightly calmer inside Kapalua Bay

Near Ka'anapali (ick rock. airport Kahekil

Mostly sunny.lsolated PM showers
Super strong wind. Umbrella advisory
South face of Black Rock has calmer area

South Shore (oiowalu, kinei, Makena Landing)

Sunny for most of the day. Light AM wind
Lightest wind in South Kihei & Wailea
Kam 1,2,3, Ulua & Mak Landing look good",6.5,6.0,2.5
"Saturday, April 2 2022","North West (epili,kapatua, Honolua)

Partly sunny. Super strong wind
Dangerous ocean conditions. Big waves
Slightly smaller waves inside Kapalua Bay

Near Ka'anapali (ick rock. airport Kahekil

Mostly sunny. Possible PM showers
Strong northeast winds. Areas of waves
South face of Black Rock is best

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny. Possible PM showers
Light wind early in south Kihei/Wailea
Kam 1,2,3, Wailea & Makena Landing good",7.0,6.5,2.5
"Saturday, April 23 2022","North West (epili,kapatua, Honolua)

Partly sunny. Possible isolated rain. Windy
Waves are getting bigger all day. Hazardous
Inside Kapalua Bay has smaller waves

Near Ka'anapali (ick rock. airport Kahekil

Mostly sunny for most of the day. Windy PM
Waves in areas will likely increase this PM
Kahekili is OK. Black Rock is best

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny. Increasing PM wind & clouds
Waves are powerful, mainly in Makena & Wailea
Smaller waves at Kamaole Beach #1 this AM",4.0,6.5,3.5
"Friday, April 22 2022","North West (epili,kapatua, Honolua)

Partly sunny. Windy. Rain at times
Hazardous waves will increase
Smallest waves are inside Kapalua Bay

Near Ka'anapali (ick rock. airport Kahekil

Sunshine expected. Passing clouds
Breezy PM wind. Waves in areas
Kahekili improved. Black Rock is best

South Shore (oiowalu, kinei, Makena Landing)

Partly to mostly sunny. Isolated PM showers
Waves picking back up. Mainly in Makena
Kamaole # 1 & Ulua beach looking best",5.5,7.0,3.5
"Thursday, April 14.2022","North West (epili,kapatua, Honolua)

Isolated showers this AM. Strong wind
Currents & waves in exposed shoreline
Honolua looks good. Kapalua Bay is best

Near Ka'anapali (ick rock. airport Kahekil

Sunshine expected. Breezy PM wind
Waves in areas but they are smaller
Kahekili & south side Black Rock improved

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies are expetced. Breezy PM wind
Waves are smaller but still powerful at times
Part of Kam 1, Ulua & Wailea OK. Avoid waves",5.5,7.0,6.5
"Friday, April 29 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Isolated showers. Windy
Waves picking up in exposed areas
Part of Honolua good. Kapalua bay is best

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies expected. Increasing PM wind
Small waves surging in areas to avoid
Kahekili good early, Black Rock great all day

South Shore (oiowalu, kinei, Makena Landing)

Sunshine expected. Increasing PM wind
Small waves surging in areas to avoid
Kam 1,2,3, Ulua & Makena Landing are good",7.0,75,6.0
"Thursday, April 28 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Passing clouds. Windy
Waves in the open ocean exposed areas
Honolua improving. Kapalua Bay is best

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies & lighter wind expected
Powerful little waves in areas to avoid
Kahekili & Black Rock both very good

South Shore (oiowalu, kinei, Makena Landing)

Sunshine & lighter wind expected
Occassional poweful little waves
Kam 1,23 & Wailea beaches looking good",6.5,75,7.0
"Thursday, April 7 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Super windy. Isolated rain
Strong currents & increasing waves
Part of Honolua & Kapalua Bays are good

Near Ka'anapali (ick rock. airport Kahekil

Sunshine expected. Very strong PM wind
May get too windy for Kahekili later
Black Rock & Kahekili excellent this AM

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies expected. Light AM wind
Wind waves & choppy this afternoon
Kam 1,2,3, Ulua & Makena Landing good",7.5,8.0,6.5
"Sunday, April 17 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Isolated showers. Windy
Strogn currents & waves outside the bays
Napili Bay is good.Kapalua Bay is best

Near Ka'anapali (ick rock. airport Kahekil

Sunshine expected, Breezy PM winds
PM wind will likely affect Kahekili
South face of Black Rock likely great all day

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies espected. Strong PM wind
Waves picked up. Hazardous waves in Makena
Smaller waves at Kam 1 & Ulua beaches",5.5,75,6.5
"Saturday, April 16 2022","North West (epili,kapatua, Honolua)

Cloudy & breezy. Raining this morning
Heavy rain is expected. Streams are flowing
Kapalua Bay is looking pretty good

Near Ka'anapali (ick rock. airport Kahekil

Mostly cloudy. It may clear up for a bit
Heavy rain is expected sometime today
Kahekili & Black Rock both good this AM

South Shore (oiowalu, kinei, Makena Landing)

Mostly cloudy. Heavy rain expected today
Waves picked up in most areas
Smallest waves at Kam 1 & Ulua beach",5.0,7.0,5.5
"Monday, April 4 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Isolated showers. Very windy
Waves are still breaking powerfully
Smallest waves are inside Kapalua Bay

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies expected. Lighter wind this AM
Stronger wind this PM may affect Kahekili
South face of Black Rock great likely all day

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies expected. Light AM wind- Wailea
Stronger wind this PM. Choppy waves later
Kam 1,2,3, Ulua & Makena Landing best early",7.0,75,4.
"Tuesday, April 5 2022","North West (epili,kapatua, Honolua)

Partly sunny. Scattered showers
Waves & stronger currents in areas
Kapalua Bay is looking good this AM

Near Ka'anapali (ick rock. airport Kahekil

Mostly sunny. Light east wind expected
Slightly elevated waves & currents in areas
Kahekili & Black Rock both very good this AM

South Shore (oiowalu, kinei, Makena Landing)

Partly sunny. Lightest wind near Wailea
Slightly elevated waves in areas
Kam 1,2,3, Ulua, Wailea & Mak Landing good",7.5,8.0,5.5
"Friday, May 6 2022","North West (epili,kapatua, Honolua)

Mostly cloudy, windy, scattered rain
Waves & currents & rain runoff in areas
Calmer, clear water inside Kapalua Bay

Near Ka'anapali (ick rock. airport Kahekil

Partly sunny. Isolated shower later
Waves are smaller. Kahekili still rough
South face of Black Rock looking good

South Shore (oiowalu, kinei, Makena Landing)

Partly sunny. Increasing PM wind
Smaller waves but still powerful at times
Kamaole Beach 1 & Ulua has smaller waves",5.0,6.0,4.5
"Saturday, May 14.2022","North West (epili,kapatua, Honolua)

Mostly sunny. Isolated showers. Windy
Stronger currents further out from shore
Kapalua Bay & Honolua are both great

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies expected. Northeast wind
Wind may get too strong at Kahekili later
South face of Black Rock great all day

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies & light wind expected in Wailea
Wind waves likely picking up later
Kam 1,2,3, Ulua & Makena Landing all good",8.0,8.5,7.5
"Saturday, May 14.2022","North West (epili,kapatua, Honolua)

Mostly sunny. Isolated showers. Windy
Stronger currents further out from shore
Kapalua Bay & Honolua are both great

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies expected. Northeast wind
Wind may get too strong at Kahekili later
South face of Black Rock great all day

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies & light wind expected in Wailea
Wind waves likely picking up later
Kam 1,2,3, Ulua & Makena Landing all good",8.0,8.5,7.5
"Friday, May 20 2022","North West (epili,kapatua, Honolua)

High clouds. Hot & humid. Light wind
Waves in Napili Bay & ouskirts of bays
Most of Kapalua Bay & Honolua are good

Near Ka'anapali (ick rock. airport Kahekil

High clouds & mostly sunny. Hot & humid
Poweful waves along most of the shoreline
Kahekili Beach has areas with smaller waves

South Shore (oiowalu, kinei, Makena Landing)

Sunny for most of the day. Light winds
Hazardous waves throughout the zone
Smaller waves along Kamaole Beach # 1",2.0,4.0,6.5
"Saturday, May 21 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Strong east wind
Stronger currents further out from shore
Kapalua Bay & Honolua look fantastic

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies expetced. Breezy afternoon
Still elevated waves in areas of the beach
Kahekili & Black Rock have clear visibility

South Shore (oiowalu, kinei, Makena Landing)

Sunshine expetced. Light wind this AM
Waves are big enough to be extra cautious
Bigger waves in Makena. Smallest at Kamaole 1",4.5,7.0,8.0
"Monday, May 30 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Passing clouds
Waves & stronger currents in Napili
Kapalua Bay & Honolua are best on Maui

Near Ka'anapali (ick rock. airport Kahekil

Mostly sunny. Light wind expected
Waves are smaller but still powerful in areas
Kahekili Beach has the smallest waves

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny. Light wind expected
Hazardous waves throughout the zone
Smallest waves at Kamaole Beach Park #1",4.0,5.5,8.0
"Tuesday, May 31 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Passing clouds. Breezy
Hazardous waves in Napili & outer points
Honolua & inside Kapalua Bay are best

Near Ka'anapali (ick rock. airport Kahekil

Mostly sunny. Breezy afternoon winds
Big dangerous waves & extreme currents
Slightly smaller waves south Kahakili this AM

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny. Stronger afternoon winds
Big dangerous waves & etreme currents
Kamaole beach # 1 has smaller waves this AM",1.5,2.5,7.0
"Sunday, May 1 2022","North West (epili,kapatua, Honolua)

Partly sunny. Expected to become stormy
Rough seas & currents in most areas
Kapalua Bay has the calmest water this AM

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies this morning. Rain likely later
Strong wind driven currents at Kahekili
South face of Black Rock is nice & calm

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny & calm early. Rough later
Rain & strong wind expected this afternoon
Kam 1, Ulua & Wailea beach good this morning",6.0,6.5,5.5
"Friday, May 13 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Very windy outside the bays
Stronger currents further out from shore
Kapalua Bay & Honolua are excellent!

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies expected all day. East wind
A slight chance the wind picks up later
Black Rock & Kahekili both super clear!

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies & light wind this AM. Windy later
Slightly elevated waves. Wind waves later
Kam 1,2,3, Ulua & Makena Landing look great!",7.5,8.5,8.0
"Thursday, May 12 2022","North West (epili,kapatua, Honolua)

Partly sunny, then mostly sunny. Windy
Strong currents outside of the bays
Kapalua Bay & Honolua Bay both great

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies & favorable east breeze
Aslight chance Kahekili may get too windy
Kahekili & Black Rock are both Excellent!

South Shore (oiowalu, kinei, Makena Landing)

Sunshine & light winds. Stronger PM wind
Waves are up just a bit in some areas
Kam 1,2,3, Ulua & Makena Landing are great",7.5,8.5,8.0
"Friday, May 27 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Lighter wind today
Waves picking up in Napili area
Kapalau Bay & Honolua looking great

Near Ka'anapali (ick rock. airport Kahekil

Beautiful beach day. Lighter wind today
Waves & currents are getting powerful
Kahekili Beach has smaller waves this AM

South Shore (oiowalu, kinei, Makena Landing)

Sunny beautiful beach day. Light wind
Waves & currents are getting powerful today
Kamaole Beach # 1 has smaller waves this AM",3.0,4.5,7.0
"Thursday, May 26 2022","North West (epili,kapatua, Honolua)

Cloudy early then likely mostly sunny
Strong winds & rough outside the bays
Kapalua Bay & Honolua are looking great

Near Ka'anapali (ick rock. airport Kahekil

Sunshine & favorable wind expected
Wind still may affect Kahekili later
Black Rock & Kahekili both fantastic

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies & ligth wind this morning
Waves likely picking up this afternoon
Kam 1, north end Ulua & Wailea beach are best",6.0,8.0,7.0
"Wednesday, May 18 2022","North West (vapiti Kapalua Honolua)

Sunny with light wind and scattered clouds
Kapalua and Honolua look great
Waves are up a bit at Napili Bay

Near Ka‘anapalii (lack Rock, Airport Kahekil)

Mostly sunny / humid with chance of showers
Powerfull waves at time in this area today
Kahekili is calmer than Black Rock in the AM

Southside (olowalu, kine, Makena Landing)

Strong south wind and powerful waves here
Partly to mostly sunny. Scattered showers.
Kamaole 1 has smallest waves. Be cautious",3.0,5.0,7.5
"Monday, May 23 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Increasing PM clouds.
Stonger current further out from shore
Kapalua Bay & Honolua are great

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies & favorable wind expected
Maybe increasing afternoon clouds
Kahekili & Black Rock both fabulous this AM

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies. Increasing afternoon winds
Waves still slightly elevated in areas
Kam 1,2,3, Ulua & Wailea Beaches looking good",6.0,8.5,7.0
"Sunday, May 22.2022","North West (epili,kapatua, Honolua)

Mostly sunny. Passing clouds. Windy
Strong currents outside the bays
Kapalua Bay & Honolua Bay looking great

Near Ka'anapali (ick rock. airport Kahekil

Sunshine & light wind expected
Small areas with elevated waves to avoid
Black Rock & Kahekili have clear visibilty

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies. Ligth winds increasing later
Waves are still breaking. Biggest in Makena
Smallest waves at Kamaole # 1 & Ulua beach",5.0,7.0,7.5
"Wednesday, May 42022","North West (epili,kapatua, Honolua)

Mostly cloudy, windy, scattered showers
Extremely dangerous waves & currents
Hazardous but slightly smaller in Kapalua Bay

Near Ka'anapali (ick rock. airport Kahekil

Partly to mostly sunny, Scattered showers
Extremely dangerous waves & currents
It is very hazardous in Ka‘anapali today

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny. Scattered showers in areas
Extremely dangerous waves & currents
Slightly smaller waves at Kamaole Beach # 1",1.5,1.5,1.5
"Thursday, May 5 2022","North West (epili,kapatua, Honolua)

Cloudy, windy & scattered showers
Powerful waves & super strogn currents
Slightly smaller inside Kapalua Bay

Near Ka'anapali (ick rock. airport Kahekil

Partly cloudy. Possible PM scattered rain
Waves are hazardous but slightly smaller
Smaller waves closer to Black Rock

South Shore (oiowalu, kinei, Makena Landing)

Mostly cloudy. Possible PM rain showers
Waves are hazardous throughout the zone
Slightly smaller waves at Kamaole Beach # 1",2.0,2.5,2.0
"Tuesday, May 17 2022","North West (epili,kapatua, Honolua)

Sunny for most of the day. Humid
Elevated waves in Napili
Kapalua Bay & Honolua are excellent

Near Ka'anapali (ick rock. airport Kahekil

Sunny for most of the day. Humid
Waves getting powerful & currents stronger
Black Rock & Kahekili OK- avoid waves

South Shore (oiowalu, kinei, Makena Landing)

Sunny for most of the day. Humid
Waves are hazardous, especially in Makena
Smallest waves at Kamaole Beach Park # 1",4.0,5.5,8.0
"Monday, May 16 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Light wind. Humid
Maybe isolated tropical showers later
Kapalua Bay & Honolua are excellent

Near Ka'anapali (ick rock. airport Kahekil

Mostly sunny. Light wind. Humid
Waves starting to pick up. May increase
Black Rock & Kahekili both looking great

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny & humid. PM tropical showers
Waves not huge but are bigger in areas
Kam 1,2,3 & north end of Ulua are best",6.5,75,8.5
"Sunday, May 29 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Increasing clouds
Waves in Napili Bay & outer points
Honolua & Kapalua Bays are super clear

Near Ka'anapali (ick rock. airport Kahekil

Mostly sunny. Isolated showers later
Powerful waves & dangerous currents
Slightly smaller waves at Kahekili Beach

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny. Isolated PM showers
Dangerous waves & powerful currents
Slightly smaller waves at Kamaole Park # 1",3.0,4.5,7.5
"Saturday, May 28 2022","North West (epili,kapatua, Honolua)

Partly sunny with isolated showers
Rough seas & currents outside the bays
Kapalua Bay & Honolua Bay are best

Near Ka'anapali (ick rock. airport Kahekil

Partly sunny. Possible showers later
Very powerful waves south of Black Rock
Smaller waves near Kahekili Beach Park

South Shore (oiowalu, kinei, Makena Landing)

Partly to mostly sunny. Maybe showers later
Dangerous waves & powerful currents
Waves are smallest at Kamaole Beach # 1",2.0,4.0,7.0
"Sunday, May 8 2022","North West (epili,kapatua, Honolua)

Partly sunny. East wind gusts near 30 mph
Strong currents outside the of the bays
Kapalua Bay & Honolua Bay looking good

Near Ka'anapali (ick rock. airport Kahekil

Mostly sunny with ligher wind expected
Wind may pick up later in the day
Kahekili & Black Rock look fantastic

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny. Increasing afternoon winds
May get rough & choppy later in the day
Kam 1,2,3, Ulua & Makena Landing are good",7.0,75,6.5
"Tuesday, May 24 2022","North West (epili,kapatua, Honolua)

Rain this morning. Partly sunny later
Avoid rain runoff & murky water
Kapalua Bay is the cleanest & calmest

Near Ka'anapali (ick rock. airport Kahekil

Mostly sunny. Possible scattered showers
Wind may affect Kahekili later
Black Rock & Kahekili have clear visibility

South Shore (oiowalu, kinei, Makena Landing)

Sunny with light wind this morning
Waves still breaking but much smaller
Kam 1,2,3, Ulua & Wailea beaches improving",6.5,7.0,6.
"Wednesday, May 25 2022","North West (epili,kapatua, Honolua)

Mostly sunny with scattered showers
Ifit rains heavy, runoff may be an issue
Kapalua Bay will likley be great all day

Near Ka'anapali (ick rock. airport Kahekil

Mostly sunny. Breezy northeast wind
Waves may pick up. Wind may affect Kahekili
South face of Black Rock is looking great

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies expected. Light AM wind
Waves are picking up. Strong PM wind
Kam 1,2,3 & north end of Ulua looking good",5.5,6.5,7.0
"Monday, May 2 2022","North West (epili,kapatua, Honolua)

Mostly cloudy, rain & strong wind
Waves are getting hazardous today
Inside Kapalua Bay has smaller waves

Near Ka'anapali (ick rock. airport Kahekil

Partly sunny. Afternoon rain likely
Be cautious- Waves are getting bigger
South face of Black Rock looking good

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny early. Rain expected this PM
Waves are getting bigger & hazardous
Kam 1 & north end of Ulua= smaller AM waves",4.5,5.0,4.0
"Tuesday, May 3.2022","North West (epili,kapatua, Honolua)

Mostyl cloudy. Scattered showers. Wind
Powerful waves, brown water & currents
Area inside Kapalau Bay has smaller waves

Near Ka'anapali (ick rock. airport Kahekil

Partly sunny. Scattered showers this PM
Big Dangerous Waves! Super strong currents!
Poweful waves slamming high on the shoreline

South Shore (oiowalu, kinei, Makena Landing)

Partly sunny. Scattered showers. PM wind
Dangerous waves, currents & brown water
Kamaole 1 has slightly smaller waves",1.5,1.5,2.0
"Tuesday, May 10 2022","North West (epili,kapatua, Honolua)

Partly sunny. Wind gusts near 30 mph
Strong currents outside the bays
Kapalua Bay & Honolua are looking good

Near Ka'anapali (ick rock. airport Kahekil

Sunshine expected. Breezy PM winds
Wind causing stronger currents in areas
Kahekili & Black Rock both excellent this AM

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies expected. Increasing PM wind
Little wind waves to avoid. Choppy later
Kam 1,2,3, Ulua & Makena Landing are good",7.0,8.0,7.5
"Wednesday, May 11 2022","North West (epili,kapatua, Honolua)

Sunny, passing clouds & strong winds
Strogner currents outside the bays
Kapalua Bay & Honolua are great

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies & favorable wind expected
Usual stronger currents out near rock tip
Black Rock & Kahekili are excellent

South Shore (oiowalu, kinei, Makena Landing)

Sunshine expected. Increasing PM winds
Wind waves & currents pick up later in areas
Kam 1,2,3, Ulua & Makena Landing are great",7.5,8.5,8.0
"Saturday, May 7 2022","North West (epili,kapatua, Honolua)

Cloudy, raining, extreme wind gusts
Currents & wind waves will increase
Area inside Kapalua Bay is calmer

Near Ka'anapali (ick rock. airport Kahekil

Pretty cloudy, isolated showers PM wind
Wind will ikely get super strong this PM
South face of Black Rock likely good all day

South Shore (oiowalu, kinei, Makena Landing)

Mostly cloudy, isolated rain, PM wind
Wind waves picking up. Murky water
Kamaole beaches are calmest this morning",5.0,6.5,5.0
"Saturday, June 42022","North West (epili,kapatua, Honolua)

Mostly sunny with passing clouds
Elevated waves in Napili Bay & areas
Kapalua Bay & Honolua mostly calm

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies expetcted for most of the day
Waves to avoid in areas but much smaller
South face of Black Rock looks great

South Shore (oiowalu, kinei, Makena Landing)

Sunshine & light wind this morning
Waves to avoid in areas, mainly in Makena
Kamaole Beach 1,2,3 looking pretty good",5.5,7.0,6.5
"Friday, June 17 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Passing clouds. Windy
Waves are getting a little bigger in areas
Much of Honolua & Kapalua Bays still good

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies expetced for most of the day
Waves are not big but are rising in areas
South face of Black Rock has calmest water

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies expected for most of the day
Slight chance wind & waves may pick up later
Kam 1,2,3, Ulua & Makena Landing great this AM",8.0,7.0,6.0
"Thursday, June 16 2022","North West (epili,kapatua, Honolua)

Mostly sunny scattered showers. Windy
Strong winds. Waves picking up in areas
Napili Bay good. Kapalua Bay is best

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies expected along the shoreline
Likely too windy for Kahekili later
South face of Black Rock great all day

South Shore (oiowalu, kinei, Makena Landing)

Sunshine expetced all day. Strong PM winds
Waves & wind waves picking up later
Kam 1,2,3, Ulua & Mak Landing good this AM",6.5,75,6.5
"Friday, June 3, 2022","North West (epili,kapatua, Honolua)

Mostly sunny with passing clouds
Waves picked up in areas & outer points
Kapalua Bay & Honolua looking great

Near Ka'anapali (ick rock. airport Kahekil

Sunshine expected for most of the day
Waves still breaking in areas but smaller
Kahekilliis good if waves are avoided

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies early. Incrasing couds & wind
Poweful waves breaking at most spots
Kamaole Beach Park #1 has smallest waves",4.0,5.5,7.0
"Wednesday, June 29 2022","North West (epili,kapatua, Honolua)

Scattered showers early. Mostly sunny
Very windy. Strong currents in areas
Kapalua a bit mixed up. Honolua very good

Near Ka'anapali (ick rock. airport Kahekil

Sunshine expected. Strong winds. Waves
Powerful waves, currents & undertow
Smaller waves south end of Kahekili Beach

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny. Passing clouds. Windy PM
Powerful waves, currents & undertow
Slightly smaller waves at Keawakapu & Kam 1",1.5,2.0,7.0
"Tuesday, June 28 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Passing clouds. Strong wind
Waves in Napili Bay & parts of Kapalua
Most of Honolua is has great conditions

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies. Strong winds. Big waves
Extremely dangerous ocean conditions
South end of Kahekili has smaller waves

South Shore (oiowalu, kinei, Makena Landing)

Sunny. Light wind early. Stronger PM wind
Extremely dangerous ocean conditions
Slightly smaller waves at Kamaole Beach # 1",1.0,1.5,6.5
"Thursday, June 23 2022","North West (epili,kapatua, Honolua)

Cloudy early. Should clear this afternoon
Strong wind & strong currents outside bays
Kapalua Bay & Honolua Bay are best

Near Ka'anapali (ick rock. airport Kahekil

Mostly sunny. Clouds may pass. Breezy
Elevated waves in areas to avoid
Black Rock & Kahekili are looking good

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny early. Increasing clouds & wind
Waves are smaller but still affecting the area
Smaller waves at Wailea Beach & Kamaole #1",4.5,75,7.0
